employee_id,department,pay_type,regular_hours,overtime_hours,hourly_rate,shift_type,approval_status
EMP-1001,Operations,Hourly,40.0,0.0,22.68,Day,Approved
EMP-1002,Operations,Hourly,40.0,0.0,33.17,Weekend Differential,Approved
EMP-1003,Facilities,Hourly,40.0,0.0,19.59,Weekend Differential,Approved
EMP-1004,Human Resources,Hourly,40.0,12.0,21.38,Weekend Differential,Flagged-Manager Review
EMP-1005,Logistics,Hourly,40.0,0.0,22.73,Day,Approved
EMP-1006,Facilities,Hourly,40.0,2.5,20.64,Day,Approved
EMP-1007,Operations,Hourly,40.0,2.5,24.1,Weekend Differential,Approved
EMP-1008,Customer Support,Salaried,40.0,0.0,48.24,Weekend Differential,Approved
EMP-1009,Operations,Salaried,40.0,0.0,39.46,Weekend Differential,Approved
EMP-1010,Customer Support,Salaried,40.0,0.0,45.46,Night,Approved
EMP-1011,Human Resources,Hourly,40.0,12.0,19.18,Day,Flagged-Manager Review
EMP-1012,Operations,Salaried,40.0,0.0,51.66,Night,Approved
EMP-1013,Customer Support,Hourly,40.0,0.0,32.18,Night,Approved
EMP-1014,Customer Support,Hourly,40.0,12.0,22.54,Weekend Differential,Approved
EMP-1015,Human Resources,Hourly,40.0,0.0,27.08,Day,Approved
EMP-1016,Facilities,Hourly,40.0,12.0,34.82,Weekend Differential,Approved
EMP-1017,Customer Support,Salaried,40.0,0.0,49.4,Day,Approved
EMP-1018,Operations,Salaried,40.0,0.0,40.03,Day,Approved
EMP-1019,Logistics,Salaried,40.0,0.0,44.18,Weekend Differential,Approved
EMP-1020,Customer Support,Hourly,40.0,12.0,26.49,Night,Approved
EMP-1021,Customer Support,Hourly,40.0,8.5,30.66,Night,Flagged-Manager Review
EMP-1022,Human Resources,Hourly,40.0,0.0,21.73,Weekend Differential,Approved
EMP-1023,Facilities,Hourly,40.0,0.0,18.8,Day,Approved
EMP-1024,Logistics,Hourly,40.0,0.0,25.18,Night,Approved
EMP-1025,Facilities,Hourly,40.0,2.5,25.96,Weekend Differential,Approved
EMP-1026,Operations,Hourly,40.0,8.5,19.95,Night,Flagged-Manager Review
EMP-1027,Operations,Hourly,40.0,0.0,20.69,Weekend Differential,Approved
EMP-1028,Customer Support,Salaried,40.0,0.0,49.05,Weekend Differential,Approved
EMP-1029,Operations,Salaried,40.0,0.0,37.46,Weekend Differential,Approved
EMP-1030,Human Resources,Hourly,40.0,0.0,20.6,Weekend Differential,Approved
EMP-1031,Human Resources,Salaried,40.0,0.0,44.97,Night,Approved
EMP-1032,Operations,Hourly,40.0,2.5,24.17,Day,Approved
EMP-1033,Operations,Hourly,40.0,0.0,27.65,Day,Approved
EMP-1034,Facilities,Salaried,40.0,0.0,54.45,Weekend Differential,Approved
EMP-1035,Logistics,Hourly,40.0,8.5,26.08,Day,Flagged-Manager Review
EMP-1036,Human Resources,Salaried,40.0,0.0,40.58,Day,Approved
EMP-1037,Human Resources,Hourly,40.0,12.0,29.73,Night,Flagged-Manager Review
EMP-1038,Customer Support,Hourly,40.0,0.0,26.8,Day,Approved
EMP-1039,Logistics,Hourly,40.0,8.5,18.36,Day,Approved
EMP-1040,Operations,Hourly,40.0,0.0,28.73,Day,Approved
EMP-1041,Operations,Salaried,40.0,0.0,31.77,Day,Approved
EMP-1042,Customer Support,Hourly,40.0,0.0,21.64,Weekend Differential,Approved
EMP-1043,Human Resources,Hourly,40.0,5.0,22.13,Night,Approved
EMP-1044,Logistics,Hourly,40.0,2.5,29.2,Night,Approved
EMP-1045,Facilities,Hourly,40.0,12.0,30.39,Weekend Differential,Approved
EMP-1046,Operations,Hourly,40.0,0.0,23.77,Day,Approved
EMP-1047,Logistics,Hourly,40.0,5.0,25.63,Day,Approved
EMP-1048,Customer Support,Hourly,40.0,0.0,32.87,Night,Approved
EMP-1049,Human Resources,Hourly,40.0,8.5,29.09,Day,Approved
EMP-1050,Logistics,Hourly,40.0,0.0,26.26,Night,Approved
EMP-1051,Operations,Hourly,40.0,5.0,18.04,Night,Approved
EMP-1052,Facilities,Hourly,40.0,12.0,29.84,Weekend Differential,Flagged-Manager Review
EMP-1053,Logistics,Hourly,40.0,0.0,21.7,Weekend Differential,Approved
EMP-1054,Human Resources,Hourly,40.0,0.0,23.33,Weekend Differential,Approved
EMP-1055,Facilities,Hourly,40.0,0.0,32.5,Day,Approved
EMP-1056,Human Resources,Hourly,40.0,8.5,21.16,Day,Approved
EMP-1057,Facilities,Hourly,40.0,0.0,33.13,Weekend Differential,Approved
EMP-1058,Human Resources,Hourly,40.0,12.0,19.39,Weekend Differential,Flagged-Manager Review
EMP-1059,Customer Support,Hourly,40.0,0.0,30.18,Night,Approved
EMP-1060,Facilities,Hourly,40.0,5.0,28.97,Night,Approved
EMP-1061,Operations,Hourly,40.0,8.5,28.56,Day,Approved
EMP-1062,Human Resources,Hourly,40.0,2.5,22.51,Day,Approved
EMP-1063,Logistics,Hourly,40.0,8.5,20.68,Weekend Differential,Flagged-Manager Review
EMP-1064,Human Resources,Salaried,40.0,0.0,50.18,Weekend Differential,Approved
EMP-1065,Operations,Hourly,40.0,12.0,27.43,Day,Approved
EMP-1066,Customer Support,Hourly,40.0,8.5,19.82,Day,Flagged-Manager Review
EMP-1067,Customer Support,Hourly,40.0,0.0,30.2,Weekend Differential,Approved
EMP-1068,Customer Support,Hourly,40.0,0.0,22.27,Day,Approved
EMP-1069,Facilities,Salaried,40.0,0.0,31.1,Night,Approved
EMP-1070,Logistics,Hourly,40.0,12.0,22.45,Night,Flagged-Manager Review
EMP-1071,Human Resources,Hourly,40.0,12.0,19.28,Day,Approved
EMP-1072,Customer Support,Hourly,40.0,0.0,20.52,Day,Approved
EMP-1073,Customer Support,Hourly,40.0,0.0,33.86,Night,Approved
EMP-1074,Logistics,Hourly,40.0,2.5,29.34,Weekend Differential,Approved
EMP-1075,Facilities,Salaried,40.0,0.0,48.74,Day,Approved
EMP-1076,Logistics,Salaried,40.0,0.0,50.27,Night,Approved
EMP-1077,Operations,Hourly,40.0,5.0,33.72,Weekend Differential,Approved
EMP-1078,Logistics,Hourly,40.0,0.0,31.39,Night,Approved
EMP-1079,Operations,Salaried,40.0,0.0,35.56,Night,Approved
EMP-1080,Customer Support,Hourly,40.0,0.0,31.52,Day,Approved
EMP-1081,Operations,Hourly,40.0,2.5,24.77,Day,Approved
EMP-1082,Customer Support,Hourly,40.0,12.0,26.66,Weekend Differential,Flagged-Manager Review
EMP-1083,Operations,Hourly,40.0,0.0,34.5,Weekend Differential,Approved
EMP-1084,Customer Support,Hourly,40.0,2.5,28.14,Weekend Differential,Approved
